tiempo_s,x_m,y_m,phi_rad,waypoint_idx,estado,dist_wp_m,dist_recorrida_m
0.032,-0.68,-0.6,1.5708,1,AVANZAR,0.0,0.0
0.064,-0.68,-0.6,1.5708,1,AVANZAR,0.88,0.0
0.096,-0.68,-0.59807,1.5708,1,AVANZAR,0.87807,0.00193
0.128,-0.68,-0.59614,1.5708,1,AVANZAR,0.87614,0.00386
0.16,-0.68,-0.59421,1.5708,1,AVANZAR,0.87421,0.00579
0.192,-0.68,-0.59228,1.5708,1,AVANZAR,0.87228,0.00772
0.224,-0.68,-0.59034,1.5708,1,AVANZAR,0.87034,0.00966
0.256,-0.68,-0.58854,1.5708,1,AVANZAR,0.86854,0.01146
0.288,-0.68,-0.58661,1.5708,1,AVANZAR,0.86661,0.01339
0.32,-0.68,-0.58468,1.5708,1,AVANZAR,0.86468,0.01532
0.352,-0.68,-0.58275,1.5708,1,AVANZAR,0.86275,0.01725
0.384,-0.68,-0.58082,1.5708,1,AVANZAR,0.86082,0.01918
0.416,-0.68,-0.57889,1.5708,1,AVANZAR,0.85889,0.02111
0.448,-0.68,-0.57696,1.5708,1,AVANZAR,0.85696,0.02304
0.48,-0.68,-0.57502,1.5708,1,AVANZAR,0.85502,0.02498
0.512,-0.68,-0.57309,1.5708,1,AVANZAR,0.85309,0.02691
0.544,-0.68,-0.57116,1.5708,1,AVANZAR,0.85116,0.02884
0.576,-0.68,-0.56936,1.5708,1,AVANZAR,0.84936,0.03064
0.608,-0.68,-0.56743,1.5708,1,AVANZAR,0.84743,0.03257
0.64,-0.68,-0.5655,1.5708,1,AVANZAR,0.8455,0.0345
0.672,-0.68,-0.56357,1.5708,1,AVANZAR,0.84357,0.03643
0.704,-0.68,-0.56164,1.5708,1,AVANZAR,0.84164,0.03836
0.736,-0.68,-0.5597,1.5708,1,AVANZAR,0.8397,0.0403
0.768,-0.68,-0.55777,1.5708,1,AVANZAR,0.83777,0.04223
0.8,-0.68,-0.55584,1.5708,1,AVANZAR,0.83584,0.04416
0.832,-0.68,-0.55391,1.5708,1,AVANZAR,0.83391,0.04609
0.864,-0.68,-0.55198,1.5708,1,AVANZAR,0.83198,0.04802
0.896,-0.68,-0.55018,1.5708,1,AVANZAR,0.83018,0.04982
0.928,-0.68,-0.54825,1.5708,1,AVANZAR,0.82825,0.05175
0.96,-0.68,-0.54632,1.5708,1,AVANZAR,0.82632,0.05368
0.992,-0.68,-0.54438,1.5708,1,AVANZAR,0.82438,0.05562
1.024,-0.68,-0.54245,1.5708,1,AVANZAR,0.82245,0.05755
1.056,-0.68,-0.54052,1.5708,1,AVANZAR,0.82052,0.05948
1.088,-0.68,-0.53859,1.5708,1,AVANZAR,0.81859,0.06141
1.12,-0.68,-0.53666,1.5708,1,AVANZAR,0.81666,0.06334
1.152,-0.68,-0.53473,1.5708,1,AVANZAR,0.81473,0.06527
1.184,-0.68,-0.5328,1.5708,1,AVANZAR,0.8128,0.0672
1.216,-0.68,-0.531,1.5708,1,AVANZAR,0.811,0.069
1.248,-0.68,-0.52906,1.5708,1,AVANZAR,0.80906,0.07094
