tiempo_s,x_m,y_m,phi_rad,waypoint_idx,estado,dist_wp_m,dist_recorrida_m
0.032,-0.28,-0.2,1.5708,1,AVANZAR,0.0,0.0
0.064,-0.28,-0.2,1.5708,1,AVANZAR,0.16,0.0
0.096,-0.28,-0.19807,1.5708,1,AVANZAR,0.15807,0.00193
0.128,-0.28,-0.19614,1.5708,1,AVANZAR,0.15614,0.00386
0.16,-0.28,-0.19421,1.5708,1,AVANZAR,0.15421,0.00579
0.192,-0.28,-0.19228,1.5708,1,AVANZAR,0.15228,0.00772
0.224,-0.28,-0.19034,1.5708,1,AVANZAR,0.15034,0.00966
0.256,-0.28,-0.18854,1.5708,1,AVANZAR,0.14854,0.01146
0.288,-0.28,-0.18661,1.5708,1,AVANZAR,0.14661,0.01339
0.32,-0.28,-0.18468,1.5708,1,AVANZAR,0.14468,0.01532
0.352,-0.28,-0.18275,1.5708,1,AVANZAR,0.14275,0.01725
0.384,-0.28,-0.18082,1.5708,1,AVANZAR,0.14082,0.01918
0.416,-0.28,-0.17889,1.5708,1,AVANZAR,0.13889,0.02111
0.448,-0.28,-0.17696,1.5708,1,AVANZAR,0.13696,0.02304
0.48,-0.28,-0.17502,1.5708,1,AVANZAR,0.13502,0.02498
0.512,-0.28,-0.17309,1.5708,1,AVANZAR,0.13309,0.02691
0.544,-0.28,-0.17116,1.5708,1,AVANZAR,0.13116,0.02884
0.576,-0.28,-0.16936,1.5708,1,AVANZAR,0.12936,0.03064
0.608,-0.28,-0.16743,1.5708,1,AVANZAR,0.12743,0.03257
0.64,-0.28,-0.1655,1.5708,1,AVANZAR,0.1255,0.0345
0.672,-0.28,-0.16357,1.5708,1,AVANZAR,0.12357,0.03643
0.704,-0.28,-0.16164,1.5708,1,AVANZAR,0.12164,0.03836
0.736,-0.28,-0.1597,1.5708,1,AVANZAR,0.1197,0.0403
0.768,-0.28,-0.15777,1.5708,1,AVANZAR,0.11777,0.04223
0.8,-0.28,-0.15584,1.5708,1,AVANZAR,0.11584,0.04416
0.832,-0.28,-0.15391,1.5708,1,AVANZAR,0.11391,0.04609
0.864,-0.28,-0.15198,1.5708,1,AVANZAR,0.11198,0.04802
