Tiempo (s),Avance Inst (m),Velocidad (m/s),Crudo Frontal Izq (ps7),Crudo Frontal Der (ps0),Promedio Frontal Crudo,Crudo Lateral Izq (ps5),Crudo Lateral Der (ps2),Filtro EMA ps7,Filtro EMA ps0,Filtro EMA ps5,Filtro EMA ps2,Kalman Frontal,Kalman Lateral Izq,Kalman Lateral Der
0.032,1.559814,48.7442,68.32,63.66,65.99,63.76,115.76,13.66,12.73,12.75,23.15,177.73,64.3,113.82
0.064,0.001223,0.0382,69.98,61.33,65.66,71.49,111.18,24.93,22.45,24.5,40.76,123.41,67.84,112.52
0.096,0.001287,0.0402,70.27,67.79,69.03,71.73,108.07,34.0,31.52,33.95,54.22,106.25,69.16,111.01
0.128,0.001287,0.0402,67.07,65.12,66.1,69.97,100.29,40.61,38.24,41.15,63.43,97.06,69.37,108.18
0.16,0.001287,0.0402,66.82,69.65,68.23,62.72,84.16,45.85,44.52,45.46,67.58,92.18,67.9,102.86
0.192,0.001287,0.0402,65.05,67.92,66.48,65.8,80.41,49.69,49.2,49.53,70.15,88.74,67.49,98.5
0.224,0.001287,0.0402,67.43,62.82,65.13,64.97,70.76,53.24,51.93,52.62,70.27,86.16,67.05,93.6
0.256,0.001287,0.0402,70.81,64.48,67.64,68.08,63.39,56.75,54.44,55.71,68.89,84.74,67.22,88.64
0.288,0.001287,0.0402,66.48,72.76,69.62,63.73,68.85,58.7,58.1,57.32,68.88,84.01,66.68,85.56
0.32,0.001287,0.0402,64.94,66.53,65.74,74.83,64.21,59.95,59.79,60.82,67.95,82.93,67.89,82.37
0.352,0.001287,0.0402,68.63,66.84,67.73,57.4,60.78,61.68,61.2,60.13,66.51,82.38,66.37,79.24
0.384,0.001223,0.0382,59.89,58.9,59.39,71.1,69.27,61.32,60.74,62.33,67.07,80.7,67.04,77.83
0.416,0.001287,0.0402,65.89,67.06,66.47,71.89,72.76,62.24,62.0,64.24,68.2,80.38,67.72,77.13
0.448,0.001287,0.0402,64.99,61.55,63.27,67.55,67.64,62.79,61.91,64.9,68.09,79.7,67.69,75.82
0.48,0.001287,0.0402,66.33,71.16,68.74,67.13,66.83,63.5,63.76,65.35,67.84,79.88,67.62,74.6
0.512,0.001287,0.0402,72.53,65.57,69.05,64.85,54.67,65.3,64.12,65.25,65.2,80.09,67.24,71.91
0.544,0.001287,0.0402,69.83,70.14,69.99,61.35,69.07,66.21,65.33,64.47,65.98,80.41,66.45,71.53
0.576,0.001223,0.0382,68.79,65.33,67.06,71.6,64.64,66.73,65.33,65.9,65.71,80.22,67.14,70.61
0.608,0.001287,0.0402,68.46,63.28,65.87,74.12,63.42,67.07,64.92,67.54,65.25,79.98,68.07,69.66
0.64,0.001287,0.0402,63.75,66.61,65.18,68.15,70.78,66.41,65.26,67.66,66.36,79.69,68.08,69.81
0.672,0.001287,0.0402,65.88,68.1,66.99,69.68,69.42,66.3,65.83,68.07,66.97,79.68,68.29,69.75
0.704,0.001287,0.0402,66.56,73.49,70.03,66.45,65.62,66.35,67.36,67.74,66.7,80.08,68.05,69.21
0.736,0.001287,0.0402,64.82,68.16,66.49,60.34,66.61,66.05,67.52,66.26,66.68,79.96,67.03,68.86
0.768,0.001287,0.0402,73.45,67.73,70.59,67.11,67.0,67.53,67.56,66.43,66.75,80.4,67.04,68.62
0.8,0.001287,0.0402,61.46,66.62,64.04,62.18,68.68,66.31,67.37,65.58,67.13,79.92,66.4,68.63
0.832,0.001287,0.0402,68.49,67.88,68.18,67.58,72.36,66.75,67.47,65.98,68.18,80.04,66.55,69.12
0.864,0.001287,0.0402,71.24,69.81,70.52,66.02,65.17,67.65,67.94,65.99,67.58,80.46,66.48,68.6
0.896,0.001287,0.0402,69.76,65.37,67.57,70.73,70.97,68.07,67.43,66.94,68.25,80.44,67.04,68.91
