tiempo_s,x_m,y_m,phi_rad,waypoint_idx,estado,dist_wp_m,dist_recorrida_m
0.032,0.85,0.85,3.14159,1,AVANZAR,0.0,0.0
0.064,0.85,0.85,-3.14159,1,AVANZAR,0.1,0.0
0.096,0.84807,0.85,-3.14159,1,AVANZAR,0.09807,0.00193
0.128,0.84614,0.85,-3.14159,1,AVANZAR,0.09614,0.00386
0.16,0.84421,0.85,-3.14159,1,AVANZAR,0.09421,0.00579
0.192,0.84228,0.85,-3.14159,1,AVANZAR,0.09228,0.00772
0.224,0.84034,0.85,-3.14159,1,AVANZAR,0.09034,0.00966
0.256,0.83854,0.85,-3.14159,1,AVANZAR,0.08854,0.01146
0.288,0.83661,0.85,-3.14159,1,AVANZAR,0.08661,0.01339
0.32,0.83468,0.85,-3.14159,1,AVANZAR,0.08468,0.01532
0.352,0.83275,0.85,-3.14159,1,AVANZAR,0.08275,0.01725
0.384,0.83082,0.85,-3.14159,1,AVANZAR,0.08082,0.01918
0.416,0.82889,0.85,-3.14159,1,AVANZAR,0.07889,0.02111
0.448,0.82696,0.85,-3.14159,1,AVANZAR,0.07696,0.02304
0.48,0.82502,0.85,-3.14159,1,AVANZAR,0.07502,0.02498
0.512,0.82309,0.85,-3.14159,1,AVANZAR,0.07309,0.02691
0.544,0.82129,0.85,-3.14159,1,AVANZAR,0.07129,0.02871
0.576,0.81949,0.85,-3.14159,1,AVANZAR,0.06949,0.03051
0.608,0.81769,0.85,-3.14159,1,AVANZAR,0.06769,0.03231
0.64,0.81588,0.85,-3.14159,1,AVANZAR,0.06588,0.03412
0.672,0.81421,0.85,-3.14159,1,AVANZAR,0.06421,0.03579
0.704,0.81267,0.85,-3.14159,1,AVANZAR,0.06267,0.03733
0.736,0.81099,0.85,-3.14159,1,AVANZAR,0.06099,0.03901
0.768,0.80945,0.85,-3.14159,1,AVANZAR,0.05945,0.04055
0.8,0.8079,0.85,-3.14159,1,AVANZAR,0.0579,0.0421
0.832,0.80649,0.85,-3.14159,1,AVANZAR,0.05649,0.04351
0.864,0.80494,0.85,-3.14159,1,AVANZAR,0.05494,0.04506
0.896,0.80365,0.85,-3.14159,1,AVANZAR,0.05365,0.04635
0.928,0.80224,0.85,-3.14159,1,AVANZAR,0.05224,0.04776
0.96,0.80082,0.85,-3.14159,1,AVANZAR,0.05082,0.04918
0.992,0.79953,0.85,-3.14159,1,AVANZAR,0.04953,0.05047
1.024,0.79838,0.85,-3.14159,1,AVANZAR,0.04838,0.05162
1.056,0.79709,0.85,-3.14159,1,AVANZAR,0.04709,0.05291
1.088,0.79593,0.85,-3.14159,1,AVANZAR,0.04593,0.05407
1.12,0.79464,0.85,-3.14159,1,AVANZAR,0.04464,0.05536
1.152,0.79361,0.85,-3.14159,1,AVANZAR,0.04361,0.05639
1.184,0.79245,0.85,-3.14159,1,AVANZAR,0.04245,0.05755
1.216,0.79129,0.85,-3.14159,1,AVANZAR,0.04129,0.05871
1.248,0.79026,0.85,-3.14159,1,AVANZAR,0.04026,0.05974
1.28,0.78923,0.85,-3.14159,1,AVANZAR,0.03923,0.06077
1.312,0.7882,0.85,-3.14159,1,AVANZAR,0.0382,0.0618
1.344,0.7873,0.85,-3.14159,1,AVANZAR,0.0373,0.0627
1.376,0.78627,0.85,-3.14159,1,AVANZAR,0.03627,0.06373
